ZCTA,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,BROAD,REMNRTY,POV150,NOHSDP,SNGPNT,UNEMP,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
30177,GA,1,0,0,0,0,0,0,1393,2.3,38.3,32,15.2,8.3,0,0,0,1,0,0,0,0
30178,GA,8,3,1,1,2,0,1,3654,25.8,16.5,12.1,21.4,4.3,2.3,82.10180623973727,27.367268746579093,2,27.367268746579093,54.734537493158186,0,27.367268746579093
30179,GA,26,10,4.25,4,7,0,6,18370,8.1,20.5,19.5,14.7,5.9,2.6,54.43658138268917,23.135547087642895,2,21.774632553075666,38.105606967882416,0,32.6619488296135
30180,GA,86,30,14.75,19,20,1,19,39825,11.9,37.9,16.2,10.4,8.6,7,75.32956685499059,37.03703703703704,2,47.70872567482737,50.21971123666039,2.5109855618330195,47.70872567482737
30182,GA,10,5,3,2,5,0,5,3472,17.6,8.2,33.2,20.9,5.2,4.2,144.00921658986175,86.40552995391705,4,57.6036866359447,144.00921658986175,0,144.00921658986175
30183,GA,23,8,4.25,4,6,0,7,6480,6.5,12.6,22.7,10.4,2.9,7.2,123.45679012345678,65.58641975308642,3,61.72839506172839,92.5925925925926,0,108.0246913580247
30184,GA,11,4,2,2,2,0,4,6875,17,7.5,9.3,6.4,3.7,7.2,58.18181818181818,29.09090909090909,2,29.09090909090909,29.09090909090909,0,58.18181818181818
30185,GA,9,2,0.75,0,2,0,1,3836,14.6,19.8,30.5,23.3,4.3,5,52.13764337851929,19.551616266944734,2,0,52.13764337851929,0,26.068821689259646
30187,GA,29,17,8,6,14,1,11,7529,8.5,30.4,18.6,7.9,4.7,6,225.7935980873954,106.25581086465667,5,79.6918581484925,185.94766901314915,13.281976358082083,146.1017399389029
30188,GA,196,81,36,39,61,2,43,64836,4.6,25.4,10.9,6,4.4,3.2,124.9305941143809,55.5247084952804,3,60.15176753655377,94.08353383922513,3.084706027515578,66.32117959158492
30189,GA,107,38,17.75,22,25,0,24,40471,3.8,22.8,9.7,6.1,9.6,3.5,93.89439351634503,43.85856539250327,2,54.359912035778706,61.772627313384895,0,59.3017222208495
30203,GA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30204,GA,40,17,9.5,8,14,1,15,13931,22.4,39.9,24.6,11.4,6,10.3,122.03000502476492,68.19323810207452,4,57.42588471753643,100.49529825568875,7.178235589692053,107.6735338453808
30205,GA,11,2,1,2,1,0,1,3329,12.3,11.4,9.9,6.2,3.3,2.1,60.07810153199159,30.039050765995796,2,60.07810153199159,30.039050765995796,0,30.039050765995796
30206,GA,11,2,1,1,2,0,1,3573,18.7,12.5,13.4,8.3,1.6,4.2,55.97537083683179,27.987685418415897,2,27.987685418415897,55.97537083683179,0,27.987685418415897
