FIPS,class,n,freq,primary_org_cat
01093,Professional,1,0.06666666666666667,Religious
01093,Religious,6,0.4,Religious
01093,Social & Fraternal,4,0.26666666666666666,Religious
01093,Unions,2,0.13333333333333333,Religious
01095,Arts & Cultural,2,0.03278688524590164,Social & Fraternal
01095,Community,6,0.09836065573770492,Social & Fraternal
01095,Economic,7,0.11475409836065574,Social & Fraternal
01095,Education,1,0.01639344262295082,Social & Fraternal
01095,Foundations,1,0.01639344262295082,Social & Fraternal
01095,Healthcare,4,0.06557377049180328,Social & Fraternal
01095,Hobby & Sports,4,0.06557377049180328,Social & Fraternal
01095,Housing,1,0.01639344262295082,Social & Fraternal
01095,Religious,13,0.21311475409836064,Social & Fraternal
01095,Research & Think Tank,1,0.01639344262295082,Social & Fraternal
01095,Social & Fraternal,17,0.2786885245901639,Social & Fraternal
01095,Youth,4,0.06557377049180328,Social & Fraternal
01097,Arts & Cultural,25,0.053418803418803416,Religious
01097,Community,52,0.1111111111111111,Religious
01097,Economic,25,0.053418803418803416,Religious
01097,Education,22,0.04700854700854701,Religious
01097,Foundations,6,0.01282051282051282,Religious
01097,Healthcare,13,0.027777777777777776,Religious
01097,Hobby & Sports,22,0.04700854700854701,Religious
01097,Housing,6,0.01282051282051282,Religious
01097,Political,10,0.021367521367521368,Religious
01097,Professional,20,0.042735042735042736,Religious
01097,Religious,125,0.2670940170940171,Religious
01097,Research & Think Tank,15,0.03205128205128205,Religious
01097,Social & Fraternal,90,0.19230769230769232,Religious
01097,Unions,17,0.03632478632478633,Religious
01097,Youth,20,0.042735042735042736,Religious
01099,Arts & Cultural,2,0.25,Arts & Cultural
01099,Economic,1,0.125,Arts & Cultural
01099,Healthcare,1,0.125,Arts & Cultural
01099,Hobby & Sports,1,0.125,Arts & Cultural
01099,Religious,1,0.125,Arts & Cultural
01099,Social & Fraternal,2,0.25,Arts & Cultural
01101,Arts & Cultural,9,0.02040816326530612,Social & Fraternal
01101,Community,12,0.027210884353741496,Social & Fraternal
01101,Economic,34,0.07709750566893424,Social & Fraternal
01101,Education,36,0.08163265306122448,Social & Fraternal
01101,Foundations,6,0.013605442176870748,Social & Fraternal
01101,Healthcare,24,0.05442176870748299,Social & Fraternal
01101,Hobby & Sports,28,0.06349206349206349,Social & Fraternal
01101,Housing,5,0.011337868480725623,Social & Fraternal
01101,Political,14,0.031746031746031744,Social & Fraternal
01101,Professional,63,0.14285714285714285,Social & Fraternal
01101,Religious,80,0.18140589569160998,Social & Fraternal
01101,Research & Think Tank,12,0.027210884353741496,Social & Fraternal
01101,Social & Fraternal,88,0.19954648526077098,Social & Fraternal
01101,Unions,7,0.015873015873015872,Social & Fraternal
01101,Youth,23,0.05215419501133787,Social & Fraternal
01103,Arts & Cultural,3,0.03260869565217391,Religious
01103,Community,5,0.05434782608695652,Religious
01103,Economic,3,0.03260869565217391,Religious
01103,Education,2,0.021739130434782608,Religious
01103,Foundations,2,0.021739130434782608,Religious
01103,Healthcare,4,0.043478260869565216,Religious
01103,Hobby & Sports,8,0.08695652173913043,Religious
01103,Professional,9,0.09782608695652174,Religious
01103,Religious,26,0.2826086956521739,Religious
01103,Research & Think Tank,3,0.03260869565217391,Religious
01103,Social & Fraternal,23,0.25,Religious
01103,Unions,2,0.021739130434782608,Religious
01103,Youth,2,0.021739130434782608,Religious
01105,Education,5,0.4166666666666667,Education
01105,Hobby & Sports,1,0.08333333333333333,Education
01105,Housing,1,0.08333333333333333,Education
01105,Religious,1,0.08333333333333333,Education
01105,Social & Fraternal,4,0.3333333333333333,Education
01107,Healthcare,1,0.0625,Social & Fraternal
01107,Religious,5,0.3125,Social & Fraternal
01107,Social & Fraternal,9,0.5625,Social & Fraternal
01107,Youth,1,0.0625,Social & Fraternal
01109,Arts & Cultural,3,0.07894736842105263,Social & Fraternal
01109,Economic,2,0.05263157894736842,Social & Fraternal
01109,Education,3,0.07894736842105263,Social & Fraternal
01109,Healthcare,1,0.02631578947368421,Social & Fraternal
01109,Hobby & Sports,1,0.02631578947368421,Social & Fraternal
01109,Political,1,0.02631578947368421,Social & Fraternal
01109,Professional,4,0.10526315789473684,Social & Fraternal
01109,Religious,3,0.07894736842105263,Social & Fraternal
01109,Social & Fraternal,18,0.47368421052631576,Social & Fraternal
01109,Youth,2,0.05263157894736842,Social & Fraternal
01111,Arts & Cultural,1,0.07142857142857142,Social & Fraternal
01111,Education,1,0.07142857142857142,Social & Fraternal
01111,Healthcare,1,0.07142857142857142,Social & Fraternal
01111,Professional,1,0.07142857142857142,Social & Fraternal
01111,Religious,1,0.07142857142857142,Social & Fraternal
01111,Social & Fraternal,5,0.35714285714285715,Social & Fraternal
01111,Youth,4,0.2857142857142857,Social & Fraternal
01113,Arts & Cultural,2,0.047619047619047616,Religious
01113,Community,3,0.07142857142857142,Religious
01113,Economic,4,0.09523809523809523,Religious
01113,Education,7,0.16666666666666666,Religious
01113,Foundations,1,0.023809523809523808,Religious
01113,Healthcare,2,0.047619047619047616,Religious
01113,Hobby & Sports,3,0.07142857142857142,Religious
01113,Professional,3,0.07142857142857142,Religious
01113,Religious,13,0.30952380952380953,Religious
01113,Social & Fraternal,2,0.047619047619047616,Religious
01113,Unions,2,0.047619047619047616,Religious
01115,Community,3,0.05454545454545454,Social & Fraternal
01115,Economic,2,0.03636363636363636,Social & Fraternal
01115,Education,2,0.03636363636363636,Social & Fraternal
01115,Foundations,1,0.01818181818181818,Social & Fraternal
01115,Healthcare,3,0.05454545454545454,Social & Fraternal
01115,Hobby & Sports,9,0.16363636363636364,Social & Fraternal
01115,Professional,7,0.12727272727272726,Social & Fraternal
01115,Religious,10,0.18181818181818182,Social & Fraternal
01115,Social & Fraternal,15,0.2727272727272727,Social & Fraternal
01115,Unions,2,0.03636363636363636,Social & Fraternal
01115,Youth,1,0.01818181818181818,Social & Fraternal
01117,Arts & Cultural,12,0.03858520900321544,Religious
01117,Community,11,0.03536977491961415,Religious
01117,Economic,12,0.03858520900321544,Religious
01117,Education,17,0.05466237942122187,Religious
01117,Foundations,17,0.05466237942122187,Religious
01117,Healthcare,15,0.04823151125401929,Religious
01117,Hobby & Sports,33,0.10610932475884244,Religious
01117,Housing,3,0.00964630225080386,Religious
01117,Political,7,0.022508038585209004,Religious
01117,Professional,18,0.05787781350482315,Religious
01117,Religious,75,0.24115755627009647,Religious
01117,Research & Think Tank,11,0.03536977491961415,Religious
01117,Social & Fraternal,63,0.20257234726688103,Religious
01117,Unions,3,0.00964630225080386,Religious
01117,Youth,14,0.04501607717041801,Religious
01119,Arts & Cultural,1,0.07692307692307693,Social & Fraternal
01119,Education,2,0.15384615384615385,Social & Fraternal
01119,Religious,1,0.07692307692307693,Social & Fraternal
01119,Social & Fraternal,9,0.6923076923076923,Social & Fraternal
01121,Arts & Cultural,2,0.04,Religious
01121,Community,2,0.04,Religious
01121,Economic,3,0.06,Religious
01121,Education,4,0.08,Religious
