FIPS,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,Geolocation,POV150,SNGPNT,BROAD,NOHSDP,UNEMP,REMNRTY,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
13005,GA,25,10,5,5,10,0,5,11163,POINT (-82.4514325 31.5502095),36,9,25.4,16.7,3.4,26.9,89.58165367732688,44.79082683866344,2,44.79082683866344,89.58165367732688,0,44.79082683866344
13007,GA,6,3,1.25,1,3,0,1,2928,POINT (-84.4548812 31.3195798),42.6,3.9,45,16.4,12.1,48.9,102.45901639344262,42.69125683060109,2,34.15300546448088,102.45901639344262,0,34.15300546448088
13009,GA,96,37,16.75,11,31,0,26,43876,POINT (-83.2554566 33.0594897),31.2,9.7,18.6,14.3,7.6,47.9,84.3285623119701,38.17576807366214,2,25.070653660315433,70.65366031543441,0,59.25790865165466
13011,GA,25,10,4.25,3,8,0,6,18061,POINT (-83.4984409 34.3519216),24.5,3.7,19.5,23.1,3.4,13.1,55.36791982725209,23.53136592658214,1,16.610375948175626,44.29433586180167,0,33.22075189635125
13013,GA,182,84,36.25,39,57,0,51,82138,POINT (-83.7123025 33.9920094),19.9,7.9,9.6,12.3,4,31.8,102.26691665246292,44.13304438871168,2,47.48106844578636,69.39540772845699,0,62.090627967566775
13015,GA,201,81,32.5,35,55,1,41,107868,POINT (-84.8381879 34.2409175),21,6.6,20.3,13.4,5.6,24.3,75.09177884080543,30.129417436125635,1,32.447064931212225,50.98824489190492,0.9270589980346349,38.009418919420035
13017,GA,23,10,5.5,5,10,1,6,17237,POINT (-83.147197 31.7407715),39.2,12.2,39.3,16.2,4.2,45.2,58.01473574287869,31.90810465858328,2,29.007367871439346,58.01473574287869,5.801473574287869,34.80884144572722
13019,GA,30,12,6.25,5,9,2,9,18195,POINT (-83.2278695 31.2886522),34.8,7.5,28.9,19.4,6.2,19.1,65.95218466611706,34.350096180269304,2,27.480076944215444,49.4641384995878,10.992030777686178,49.4641384995878
13021,GA,675,279,131,111,230,10,175,156711,POINT (-83.6941941 32.8088446),35.2,11.3,18,13.6,7.7,63.1,178.03472634339644,83.5933661325625,5,70.83102015812547,146.76697870602575,6.381172987218511,111.67052727632394
13023,GA,25,9,4.75,4,9,0,6,12562,POINT (-83.3317174 32.4354034),30.4,14.7,29.7,12.4,7.7,32.2,71.64464257283872,37.81245024677599,2,31.842063365706096,71.64464257283872,0,47.763095048559144
